url,title,realization,genre,subgenre,production,coproduction,type,theme,year
https://www.unifrance.org/film/50861/le-peuple-loup,Le Peuple Loup,"Tomm Moore, Ross Stewart",Animation,null,Folivari,Folivari,Long-métrage,null,undefined
https://www.unifrance.org/film/51303/vacances,Vacances,"Béatrice de Staël, Léo Wolfenstein",Fiction,"Drame, Thriller",Tabo Tabo Films,"Films Grand Huit, Filmo2, Sugar Mama Productions, Lamarr Films, Paname Distribution",Long-métrage,null,2020
https://www.unifrance.org/film/50099/la-tour-de-nesle,La Tour de Nesle,Noël Herpe,Fiction,Historique,Ciné Patrimoine Concept,null,Long-métrage,null,2020
https://www.unifrance.org/film/48081/the-father,The Father,Florian Zeller,Fiction,Drame,F comme Film,"F comme Film, Ciné-@, Films du Cru, Orange Studio",Long-métrage,null,undefined
https://www.unifrance.org/film/48067/vaillante,Vaillante,"Theodore Ty, Laurent Zeitoun",Animation,"Animation 2D - 3D, Aventure",Simpatico,null,Long-métrage,null,2019
https://www.unifrance.org/film/50344/pleasure,Pleasure,Ninja Thyberg,Fiction,Drame,Logical Pictures,Logical Pictures,Long-métrage,null,undefined
https://www.unifrance.org/film/49435/vaurien,Vaurien,Peter Dourountzis,Fiction,"Drame, Thriller",10:15! Productions,Tripode Productions,Long-métrage,null,2020
https://www.unifrance.org/film/48559/tourner-pour-vivre,Tourner pour vivre,Philippe Azoulay Siritzky,Documentaire,Documentaire,Az You Like Films,Les Films 13,Long-métrage,Cinéma,2020
https://www.unifrance.org/film/48459/bigfoot-family,Bigfoot Family,"Ben Stassen, Jérémie Degruson",Animation,"Animation, Comédie",Octopolis,Octopolis,Long-métrage,null,undefined
https://www.unifrance.org/film/48096/le-tour-du-monde-en-80-jours,Le Tour du monde en 80 jours,Samuel Tourneux,Animation,"Animation, Aventure",Cottonwood Media,"STUDIOCANAL, France 3 Cinéma",Long-métrage,null,2019
https://www.unifrance.org/film/53418/le-poete-illumine-germain-nouveau-1851-1920,"Le Poète illuminé, Germain Nouveau (1851-1920)",Christian Philibert,Documentaire,Documentaire,Les Films d'Espigoule,null,Long-métrage,null,2020
https://www.unifrance.org/film/51232/vivante,Vivante !,Alexandre Ferrini,Documentaire,null,Nausicart,null,Long-métrage,null,2020
https://www.unifrance.org/film/49727/toutes-les-vies-de-kojin,Toutes les vies de Kojin,Diako Yazdani,Documentaire,null,l'atelier documentaire,null,Long-métrage,null,2020
https://www.unifrance.org/film/56869/pollock-pollock,Pollock & Pollock,Isabelle Rèbre,Documentaire,null,À Perte de Vue,"Le Fresnoy - Studio national des arts contemporains, Proarti",Long-métrage,null,2020
https://www.unifrance.org/film/48456/les-voisins-de-mes-voisins-sont-mes-voisins,Les Voisins de mes voisins sont mes voisins,"Anne-Laure Daffis, Léo Marchand",Animation,Comédie,Lardux Films,null,Long-métrage,null,2020
https://www.unifrance.org/film/46803/portrait-de-la-jeune-fille-en-feu,Portrait de la jeune fille en feu,Céline Sciamma,Fiction,Drame,Lilies Films,"Arte France Cinéma, Hold Up Films",Long-métrage,null,2019
https://www.unifrance.org/film/49733/traverser,Traverser,Joël  Akafou,Documentaire,null,VraiVrai Films,null,Long-métrage,null,2020
https://www.unifrance.org/film/47078/j-accuse,J'accuse,Roman Polanski,Fiction,"Historique, Drame, Thriller",Légende,"Gaumont, France 2 Cinéma, France 3 Cinéma",Long-métrage,null,2019
https://www.unifrance.org/film/46417/hors-normes,Hors normes,"Olivier Nakache, Éric Toledano",Fiction,Comédie dramatique,Quad Films,"Gaumont, TF1 Films Production, 120 Films",Long-métrage,null,2019
https://www.unifrance.org/film/46739/la-belle-epoque,La Belle Époque,Nicolas  Bedos,Fiction,Comédie dramatique,Les Films du Kiosque,"Pathé Films, Orange Studio, France 2 Cinéma",Long-métrage,null,2019
https://www.unifrance.org/film/47772/nevada,Nevada,Laure de Clermont-Tonnerre,Fiction,Drame,Légende,"France 3 Cinéma, MACT Productions, C2M Productions",Long-métrage,null,2019
https://www.unifrance.org/film/47847/sorry-we-missed-you,Sorry We Missed You,Ken Loach,Fiction,Drame,Why Not Productions,"Why Not Productions, Arte France Cinéma",Long-métrage,null,undefined
https://www.unifrance.org/film/47485/la-verite,La Vérité,Hirokazu Kore-eda,Fiction,Drame,3B Productions,"M.I. Movies, France 3 Cinéma",Long-métrage,null,2019
https://www.unifrance.org/film/46351/vic-le-viking,Vic le Viking,Eric Cazes,Animation,"Animation, Animation 3D, Aventure",Studio 100 Animation,null,Long-métrage,Famille,2019
https://www.unifrance.org/film/44992/les-traducteurs,Les Traducteurs,Régis Roinsard,Fiction,Thriller,Trésor Films,"Mars Films, France 2 Cinéma, Goodfellas (ex-Wild Bunch International)",Long-métrage,null,2019
https://www.unifrance.org/film/47136/la-daronne,La Daronne,Jean-Paul Salomé,Fiction,"Comédie, Policier",La Boétie Films,Le Pacte,Long-métrage,null,2019
https://www.unifrance.org/film/47617/les-miserables,Les Misérables,Ladj Ly,Fiction,Drame,SRAB Films,"Rectangle Productions, Lyly Films",Long-métrage,null,2019
https://www.unifrance.org/film/47217/un-divan-a-tunis,Un divan à Tunis,Manele Labidi,Fiction,Comédie dramatique,Kazak Productions,null,Long-métrage,"Psychanalyse, Société",2019
https://www.unifrance.org/film/47072/le-meilleur-reste-a-venir,Le Meilleur reste à venir,"Matthieu Delaporte, Alexandre de La Patellière",Fiction,Comédie dramatique,Chapter 2,"Pathé Films, M6 Films, Fargo Films, CN8 Productions, Onyx Films",Long-métrage,null,2019
https://www.unifrance.org/film/48447/kaamelott-premier-volet,Kaamelott - Premier volet,Alexandre Astier,Fiction,"Comédie, Aventure, Historique",Regular Production,"SND, M6 Films, CALT Distribution, Auvergne-Rhône-Alpes Cinéma",Long-métrage,null,2019
https://www.unifrance.org/film/47963/le-traitre,Le Traître,Marco Bellocchio,Fiction,"Biopic, Policier, Drame",Ad Vitam,Ad Vitam,Long-métrage,null,undefined
https://www.unifrance.org/film/49381/ete-85,Été 85,François Ozon,Fiction,Drame,Mandarin & Compagnie (ex-Mandarin Production),null,Long-métrage,"Vacances, Adolescence",2019
https://www.unifrance.org/film/47272/fahim,Fahim,Pierre François Martin-Laval,Fiction,"Biopic, Drame",Waiting for Cinéma,"Goodfellas (ex-Wild Bunch International), Alicéleo, France 3 Cinéma, CN8 Productions, Delta Cinéma, Fruits d'Hommes Productions",Long-métrage,null,2019
https://www.unifrance.org/film/48090/10-jours-sans-maman,10 jours sans maman,Ludovic Bernard,Fiction,Comédie,Soyouz Films,STUDIOCANAL,Long-métrage,null,2019
https://www.unifrance.org/film/47629/la-bonne-epouse,La Bonne Épouse,Martin Provost,Fiction,Comédie,Les Films du Kiosque,"France 3 Cinéma, Orange Studio",Long-métrage,null,2019
https://www.unifrance.org/film/48134/adieu-les-cons,Adieu les cons,Albert Dupontel,Fiction,Comédie,Stadenn Prod.,"Gaumont, France 2 Cinéma",Long-métrage,null,2019
https://www.unifrance.org/film/47101/samsam,SamSam,Tanguy de Kermel,Animation,"Animation, Animation 3D",Folivari,"STUDIOCANAL, France 3 Cinéma, Mac Guff Ligne",Long-métrage,null,2019
https://www.unifrance.org/film/46972/deux-moi,Deux moi,Cédric Klapisch,Fiction,Comédie dramatique,Ce Qui Me Meut,"STUDIOCANAL, France 2 Cinéma",Long-métrage,null,2019
https://www.unifrance.org/film/47577/c-est-quoi-cette-mamie,C'est quoi cette mamie ?!,Gabriel Julien-Laferrière,Fiction,Comédie,Bonne Pioche Cinéma,"TF1 Studio, M6 Films, Rezo Productions",Long-métrage,null,2019
https://www.unifrance.org/film/47966/adam,Adam,Maryam Touzani,Fiction,Drame,Les Films du Nouveau Monde,null,Long-métrage,null,2019
https://www.unifrance.org/film/48233/poly,Poly,Nicolas Vanier,Fiction,Aventure,Bonne Pioche Cinéma,"France 3 Cinéma, Umedia",Long-métrage,null,2019
https://www.unifrance.org/film/46973/les-parfums,Les Parfums,Grégory Magne,Fiction,Comédie,Les Films Velvet,France 3 Cinéma,Long-métrage,null,2019
https://www.unifrance.org/film/45955/le-prince-oublie,Le Prince oublié,Michel Hazanavicius,Fiction,"Comédie, Fantastique, Aventure",Prélude,"TF1 Films Production, Korokoro",Long-métrage,Enfance,2019
https://www.unifrance.org/film/47225/martin-eden,Martin Eden,Pietro Marcello,Fiction,Drame,Shellac Sud,Shellac Sud,Long-métrage,null,undefined
https://www.unifrance.org/film/47825/deux,Deux,Filippo  Meneghetti,Fiction,Drame,Paprika Films,null,Long-métrage,null,2019
https://www.unifrance.org/film/47634/inseparables,Inséparables,Varante Soudjian,Fiction,Comédie,CCJ Films,null,Long-métrage,null,2019
https://www.unifrance.org/film/47946/adults-in-the-room,Adults in the Room,Costa Gavras,Fiction,"Drame, Biopic",KG Productions,"Goodfellas (ex-Wild Bunch International), Elle Driver, France 2 Cinéma",Long-métrage,null,2019
https://www.unifrance.org/film/47201/golden-glove,Golden Glove,Fatih Akin,Fiction,"Horreur, Thriller",Pathé Films,Pathé Films,Long-métrage,null,undefined
https://www.unifrance.org/film/45288/la-fille-au-bracelet,La Fille au bracelet,Stéphane Demoustier,Fiction,"Drame, Comédie dramatique",Petit Film,France 3 Cinéma,Long-métrage,null,2019
https://www.unifrance.org/film/47775/le-bonheur-des-uns,Le Bonheur des uns...,Daniel Cohen,Fiction,Comédie,Cinéfrance Studios,SND,Long-métrage,null,2019
https://www.unifrance.org/film/48567/la-communion,La Communion,Jan Komasa,Fiction,Drame,Les Contes Modernes,Les Contes Modernes,Long-métrage,null,undefined
https://www.unifrance.org/film/48847/effacer-l-historique,Effacer l'historique,"Benoît Delépine, Gustave Kervern",Fiction,Comédie,Les films du Worso,"France 3 Cinéma, Pictanovo",Long-métrage,null,2019
https://www.unifrance.org/film/46107/les-siffleurs,Les Siffleurs,Corneliu Porumboiu,Fiction,"Policier, Comédie",Les films du Worso,Arte France Cinéma,Long-métrage,null,2019
https://www.unifrance.org/film/47520/le-lion,Le Lion,Ludovic Colbeau-Justin,Fiction,Comédie,Monkey Pack Films,"TF1 Films Production, TF1 Studio, Pathé Films",Long-métrage,null,2019
https://www.unifrance.org/film/47509/rendez-vous-chez-les-malawas,Rendez-vous chez les Malawas,James Huth,Fiction,Comédie,Eskwad,"TF1 Films Production, Makayel, Spartacus Productions, Pathé Films",Long-métrage,null,2019
https://www.unifrance.org/film/47534/docteur,Docteur ?,Tristan Séguéla,Fiction,Comédie,Unité (ex-Unité de Production),"Apollo Films, France 2 Cinéma",Long-métrage,null,2019
https://www.unifrance.org/film/45286/l-extraordinaire-voyage-de-marona,L'Extraordinaire Voyage de Marona,Anca Damian,Animation,Animation,Sacrebleu Productions,null,Long-métrage,null,2019
https://www.unifrance.org/film/48566/la-llorona,La Llorona,Jayro Bustamante,Fiction,"Drame, Thriller, Historique",Les Films du Volcan,Les Films du Volcan,Long-métrage,null,undefined
https://www.unifrance.org/film/46782/un-monde-plus-grand,Un monde plus grand,Fabienne Berthaud,Fiction,Drame,Haut et Court,null,Long-métrage,null,2019
https://www.unifrance.org/film/49190/30-jours-max,30 jours max,Tarek Boudali,Fiction,"Comédie, Policier",Axel Films,"STUDIOCANAL, M6 Films",Long-métrage,null,2019
https://www.unifrance.org/film/47780/chambre-212,Chambre 212,Christophe Honoré,Fiction,Comédie,Les Films Pelléas,France 2 Cinéma,Long-métrage,null,2019
https://www.unifrance.org/film/47716/une-sirene-a-paris,Une sirène à Paris,Mathias Malzieu,Fiction,"Fantastique, Drame",Overdrive Productions,EuropaCorp,Long-métrage,null,2019
https://www.unifrance.org/film/48100/sous-les-etoiles-de-paris,Sous les étoiles de Paris,Claus Drexel,Fiction,Drame,Arches Films,null,Long-métrage,null,2019
https://www.unifrance.org/film/47229/les-vetos,Les Vétos,Julie Manoukian,Fiction,Comédie dramatique,Les Films du 24,France 3 Cinéma,Long-métrage,null,2019
https://www.unifrance.org/film/48289/les-blagues-de-toto,Les Blagues de Toto,Pascal Bourdiaux,Fiction,Comédie,Superprod,null,Long-métrage,null,2019
https://www.unifrance.org/film/44206/le-capital-au-xxie-siecle,Le Capital au XXIe siècle,"Justin Pemberton, Thomas Piketty",Documentaire,Documentaire,Upside Distribution,France 3 Cinéma,Long-métrage,"Économie, Société",2019
https://www.unifrance.org/film/47848/l-audition,L'Audition,Ina Weisse,Fiction,Drame,Idéale Audience,Idéale Audience,Long-métrage,null,undefined
https://www.unifrance.org/film/48487/de-gaulle,De Gaulle,Gabriel Le Bomin,Fiction,Biopic,Vertigo Productions,"Les Films de la Baleine , SND, France 2 Cinéma, France 3 Cinéma, Les Productions du Renard",Long-métrage,Histoire,2019
https://www.unifrance.org/film/47400/the-operative,The Operative,Yuval Adler,Fiction,Thriller,Le Pacte,null,Long-métrage,null,2019
https://www.unifrance.org/film/46550/la-vie-scolaire,La Vie scolaire,"Grand Corps Malade, Mehdi Idir",Fiction,Comédie dramatique,Mandarin & Compagnie (ex-Mandarin Production),"Gaumont, France 3 Cinéma",Long-métrage,null,2019
https://www.unifrance.org/film/46742/mon-chien-stupide,Mon chien Stupide,Yvan Attal,Fiction,Comédie dramatique,Same Player,France 2 Cinéma,Long-métrage,null,2019
https://www.unifrance.org/film/48550/woman,Woman,"Yann Arthus-Bertrand, Anastasia Mikova",Documentaire,"Documentaire, Femmes",Hope Production,null,Long-métrage,null,2019
https://www.unifrance.org/film/47218/un-fils,Un fils,Mehdi M. Barsaoui,Fiction,"Drame, Thriller",Dolce Vita Films,null,Long-métrage,Famille,2019
https://www.unifrance.org/film/45381/proxima,Proxima,Alice Winocour,Fiction,Drame,Dharamsala,"Pathé Production, France 3 Cinéma",Long-métrage,null,2019
https://www.unifrance.org/film/47510/seules-les-betes,Seules les bêtes,Dominik Moll,Fiction,"Thriller, Policier",Haut et Court,France 3 Cinéma,Long-métrage,null,2019
